symbol,name,country,first_trade_year,sector,industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,Industrials,Aluminum
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,United States,2021,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,United States,2021,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,United States,,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P. Units,United States,,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,Finance,Investment Managers
ABM,ABM Industries Incorporated Common Stock,United States,,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
ABR-PD,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,,
ABR-PE,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,,
ABR-PF,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,,
ABSI,Absci Corporation Common Stock,United States,2021,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,France,2023,Utilities,Electric Utilities: Central
AC,Associated Capital Group Inc. Common Stock,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,2018,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States,2022,Finance,Blank Checks
ACABU,Atlantic Coastal Acquisition Corp. II Unit,United States,2022,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,United States,2022,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States,2022,Finance,Blank Checks
ACACU,Acri Capital Acquisition Corporation Unit,United States,2022,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,United States,2022,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,Canada,,Health Care, Medicinal Chemicals and Botanical Products 
ACCD,Accolade Inc. Common Stock,United States,2020,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,United States,,Consumer Discretionary,Publishing
